relative_ms,protocol,can_id,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7
0,CAN,256,87,69,36,93,231,255,0,0
12,CAN,512,138,16,108,253,149,84,0,0
25,CAN,256,45,102,36,98,188,0,0,0
37,CAN,512,123,16,133,3,155,80,0,0
50,CAN,256,14,56,87,100,118,255,0,0
62,CAN,512,178,16,170,254,162,87,0,0
75,CAN,256,117,78,81,103,13,0,0,0
87,CAN,512,143,16,81,255,157,87,0,0
100,CAN,256,190,110,48,124,224,0,0,0
112,CAN,512,121,17,48,3,167,90,0,0
125,CAN,256,89,89,73,102,112,255,0,0
137,CAN,512,248,16,89,0,166,78,0,0
150,CAN,256,55,108,63,125,93,255,0,0
162,CAN,512,197,16,5,0,156,87,0,0
175,CAN,256,130,98,58,100,54,255,0,0
187,CAN,512,12,17,212,254,157,84,0,0
200,CAN,256,40,66,54,104,79,0,0,0
212,CAN,512,85,16,53,0,160,86,0,0
225,CAN,256,215,108,68,103,117,255,0,0
237,CAN,512,144,16,171,255,145,82,0,0
250,CAN,256,43,102,91,65,17,1,0,0
262,CAN,512,16,16,202,2,164,92,0,0
275,CAN,256,231,81,23,75,166,255,0,0
287,CAN,512,129,16,219,255,170,87,0,0
300,CAN,256,214,75,64,99,178,255,0,0
312,CAN,512,213,16,243,255,153,81,0,0
325,CAN,256,129,100,33,61,145,0,0,0
337,CAN,512,250,15,243,2,165,82,0,0
350,CAN,256,64,89,53,115,254,255,0,0
362,CAN,512,128,16,60,255,162,89,0,0
375,CAN,256,168,78,62,111,63,255,0,0
387,CAN,512,247,16,98,2,158,79,0,0
400,CAN,256,230,106,70,117,36,0,0,0
412,CAN,512,199,16,50,255,169,86,0,0
425,CAN,256,246,87,40,133,188,254,0,0
437,CAN,512,104,16,89,1,159,78,0,0
450,CAN,256,43,89,23,100,255,255,0,0
462,CAN,512,115,16,210,255,163,89,0,0
475,CAN,256,87,72,68,150,233,255,0,0
487,CAN,512,45,17,232,1,161,88,0,0
500,CAN,256,101,83,47,111,201,0,0,0
512,CAN,512,46,16,140,255,165,79,0,0
525,CAN,256,66,92,73,70,185,255,0,0
537,CAN,512,55,16,162,0,153,81,0,0
550,CAN,256,59,78,63,70,249,255,0,0
562,CAN,512,247,15,242,255,149,86,0,0
575,CAN,256,28,94,81,122,80,0,0,0
587,CAN,512,209,15,224,255,157,83,0,0
600,CAN,256,186,80,55,105,70,255,0,0
612,CAN,512,243,15,119,1,163,81,0,0
625,CAN,256,71,74,55,81,121,254,0,0
637,CAN,512,235,15,73,252,153,94,0,0
650,CAN,256,230,94,49,102,164,255,0,0
662,CAN,512,168,16,152,0,168,75,0,0
675,CAN,256,56,91,57,102,203,0,0,0
687,CAN,512,77,16,10,253,153,89,0,0
700,CAN,256,2,70,55,149,155,255,0,0
712,CAN,512,37,16,154,253,166,81,0,0
725,CAN,256,15,89,33,99,14,255,0,0
737,CAN,512,92,16,67,0,177,84,0,0
750,CAN,256,116,108,47,108,79,0,0,0
762,CAN,512,13,16,197,0,159,83,0,0
775,CAN,256,204,89,67,116,85,255,0,0
787,CAN,512,17,16,230,2,152,82,0,0
800,CAN,256,80,86,40,99,29,0,0,0
812,CAN,512,200,15,3,254,164,87,0,0
825,CAN,256,13,80,72,108,104,255,0,0
837,CAN,512,248,15,161,253,172,86,0,0
850,CAN,256,248,81,47,85,244,255,0,0
862,CAN,512,35,16,145,253,159,85,0,0
875,CAN,256,46,93,75,99,80,1,0,0
887,CAN,512,111,16,219,4,155,76,0,0
900,CAN,256,86,105,70,116,78,0,0,0
912,CAN,512,5,16,62,1,161,83,0,0
925,CAN,256,13,81,56,138,93,255,0,0
937,CAN,512,43,16,130,254,165,76,0,0
950,CAN,256,35,91,89,140,40,254,0,0
962,CAN,512,2,16,173,254,160,85,0,0
975,CAN,256,115,96,37,116,116,255,0,0
987,CAN,512,231,15,125,254,153,90,0,0
1000,CAN,256,236,93,100,94,158,255,0,0
1012,CAN,512,152,16,82,253,156,87,0,0
1025,CAN,256,35,112,80,84,16,255,0,0
1037,CAN,512,55,16,250,0,161,75,0,0
1050,CAN,256,203,100,33,132,39,0,0,0
1062,CAN,512,48,16,120,0,159,81,0,0
1075,CAN,256,183,101,70,109,210,0,0,0
1087,CAN,512,165,16,230,254,163,87,0,0
1100,CAN,256,108,85,52,92,105,0,0,0
1112,CAN,512,82,16,204,0,177,72,0,0
1125,CAN,256,213,74,74,108,183,0,0,0
1137,CAN,512,189,16,83,2,163,81,0,0
1150,CAN,256,133,89,92,107,151,1,0,0
