relative_ms,protocol,can_id,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7
0,CAN,256,146,86,42,123,205,255,0,0
12,CAN,512,171,16,130,253,163,79,0,0
25,CAN,256,31,89,34,125,23,0,0,0
37,CAN,512,202,16,247,254,156,82,0,0
50,CAN,256,193,91,57,74,192,255,0,0
62,CAN,512,132,16,157,2,142,77,0,0
75,CAN,256,211,94,35,107,220,0,0,0
87,CAN,512,94,16,100,255,179,94,0,0
100,CAN,256,64,112,81,127,13,0,0,0
112,CAN,512,57,16,102,0,163,80,0,0
125,CAN,256,85,91,78,110,54,0,0,0
137,CAN,512,22,17,166,0,151,80,0,0
150,CAN,256,78,96,50,93,255,255,0,0
162,CAN,512,76,16,85,2,165,82,0,0
175,CAN,256,180,82,49,76,9,1,0,0
187,CAN,512,190,16,6,1,159,86,0,0
200,CAN,256,216,104,59,93,162,255,0,0
212,CAN,512,111,16,149,254,163,86,0,0
225,CAN,256,193,99,65,107,236,0,0,0
237,CAN,512,87,16,85,0,157,79,0,0
250,CAN,256,196,84,28,86,3,0,0,0
262,CAN,512,86,16,20,1,159,89,0,0
275,CAN,256,211,95,34,108,184,255,0,0
287,CAN,512,198,16,191,2,158,87,0,0
300,CAN,256,5,101,65,78,138,254,0,0
312,CAN,512,225,15,64,255,163,90,0,0
325,CAN,256,68,111,33,98,211,255,0,0
337,CAN,512,118,16,219,1,163,86,0,0
350,CAN,256,128,91,81,111,0,255,0,0
362,CAN,512,222,15,39,254,154,92,0,0
375,CAN,256,173,104,46,96,57,255,0,0
387,CAN,512,12,17,29,2,156,95,0,0
400,CAN,256,227,75,58,105,157,0,0,0
412,CAN,512,95,16,6,1,163,92,0,0
425,CAN,256,86,80,89,105,126,255,0,0
437,CAN,512,80,16,19,1,142,77,0,0
450,CAN,256,189,83,118,75,150,255,0,0
462,CAN,512,150,16,21,1,167,89,0,0
475,CAN,256,241,81,41,82,123,0,0,0
487,CAN,512,234,15,64,254,166,83,0,0
500,CAN,256,241,87,68,114,145,255,0,0
512,CAN,512,51,16,73,253,167,76,0,0
525,CAN,256,43,87,47,142,241,254,0,0
537,CAN,512,41,16,248,253,158,86,0,0
550,CAN,256,196,95,40,107,91,0,0,0
562,CAN,512,113,16,167,254,152,87,0,0
575,CAN,256,233,87,35,86,228,0,0,0
587,CAN,512,159,16,214,0,147,82,0,0
600,CAN,256,34,111,33,64,54,0,0,0
612,CAN,512,117,16,142,255,162,79,0,0
625,CAN,256,0,85,71,105,219,255,0,0
637,CAN,512,248,16,60,3,158,81,0,0
650,CAN,256,103,83,38,103,76,0,0,0
662,CAN,512,5,16,120,0,162,80,0,0
675,CAN,256,144,96,54,35,87,255,0,0
687,CAN,512,172,16,36,1,149,82,0,0
700,CAN,256,61,93,65,62,127,255,0,0
712,CAN,512,97,16,78,1,169,82,0,0
725,CAN,256,57,92,42,78,236,0,0,0
737,CAN,512,26,16,178,255,162,89,0,0
750,CAN,256,66,85,65,76,27,0,0,0
762,CAN,512,180,16,25,1,147,84,0,0
775,CAN,256,12,105,78,73,69,255,0,0
787,CAN,512,120,16,245,0,157,93,0,0
800,CAN,256,217,103,98,97,69,0,0,0
812,CAN,512,24,16,177,1,167,83,0,0
825,CAN,256,100,102,63,109,174,0,0,0
837,CAN,512,1,16,60,253,166,86,0,0
850,CAN,256,134,76,73,131,239,255,0,0
862,CAN,512,163,16,117,254,161,85,0,0
875,CAN,256,7,78,53,111,29,0,0,0
887,CAN,512,87,16,102,253,160,80,0,0
900,CAN,256,241,76,60,114,24,1,0,0
912,CAN,512,39,17,170,254,157,89,0,0
925,CAN,256,170,99,71,109,245,254,0,0
937,CAN,512,51,16,237,0,146,83,0,0
950,CAN,256,137,100,73,90,135,254,0,0
962,CAN,512,126,16,132,0,157,83,0,0
975,CAN,256,138,97,77,136,135,255,0,0
987,CAN,512,122,16,132,2,153,85,0,0
1000,CAN,256,83,80,73,61,207,0,0,0
1012,CAN,512,236,15,77,253,139,77,0,0
1025,CAN,256,239,96,92,95,254,255,0,0
1037,CAN,512,96,16,92,254,174,83,0,0
1050,CAN,256,225,94,34,98,191,254,0,0
1062,CAN,512,222,15,253,253,173,91,0,0
1075,CAN,256,55,112,60,101,19,1,0,0
1087,CAN,512,215,16,180,255,175,87,0,0
1100,CAN,256,254,108,45,69,131,0,0,0
1112,CAN,512,232,15,142,254,163,92,0,0
1125,CAN,256,40,121,62,82,113,0,0,0
1137,CAN,512,45,16,20,1,156,95,0,0
1150,CAN,256,206,103,86,111,215,255,0,0
1162,CAN,512,77,16,234,2,162,92,0,0
1175,CAN,256,33,82,83,105,188,255,0,0
1187,CAN,512,79,16,217,254,158,87,0,0
1200,CAN,256,179,107,89,100,217,254,0,0
1212,CAN,512,68,16,163,254,152,91,0,0
1225,CAN,256,58,115,64,94,240,255,0,0
1237,CAN,512,136,16,127,254,148,88,0,0
1250,CAN,256,68,103,42,126,250,255,0,0
1262,CAN,512,48,16,49,253,143,84,0,0
1275,CAN,256,213,95,47,88,166,255,0,0
1287,CAN,512,241,16,126,3,159,79,0,0
1300,CAN,256,219,90,80,102,198,0,0,0
1312,CAN,512,75,16,127,253,166,81,0,0
1325,CAN,256,101,88,82,140,234,0,0,0
1337,CAN,512,35,16,201,254,172,95,0,0
1350,CAN,256,112,94,61,77,45,1,0,0
1362,CAN,512,205,15,131,250,151,85,0,0
1375,CAN,256,135,88,60,59,238,255,0,0
1387,CAN,512,107,16,3,0,145,83,0,0
1400,CAN,256,232,96,107,134,54,255,0,0
1412,CAN,512,95,16,43,1,167,86,0,0
1425,CAN,256,85,111,65,99,177,255,0,0
1437,CAN,512,46,16,3,6,160,80,0,0
1450,CAN,256,168,93,61,128,110,255,0,0
1462,CAN,512,248,15,78,1,168,83,0,0
1475,CAN,256,135,105,62,91,219,0,0,0
